Afton Hutton;f;1147;BMW;95.621;87.566;77.424;76.756;58.712
Vogt Voisin;m;1610;Nissan;80.183;99.957;75.18;75.253;64.12
Dominick Amburn;m;1978;Koenigsegg;54.506;61.894;79.857;65.583;63.282
Tora Huss;f;1423;Lamborghini;60.949;61.786;57.609;63.417;74.601
Schwalm Pfister;m;1331;Mercedes;94.832;51.823;83.379;99.165;91.539
Mcnair Mazie;m;1708;Audi;90.382;91.162;97.919;55.736;66.865
Almazan Wischmeier;m;1720;Audi;83.329;58.636;74.115;94.977;67.07
Legault Lindquist;m;1652;Porsche;58.514;70.213;79.354;57.896;93.158
Frances Abby;f;1429;Bugatti;87.896;63.73;93.455;77.348;50.31
Tora Flanary;f;1786;Koenigsegg;87.369;98.321;72.033;70.045;65.081
Tonette Loretta;f;1093;Audi;79.385;50.679;86.605;93.556;63.425
Almazan Mcgeehan;m;1455;Lamborghini;69.244;93.802;84.553;92.903;71.756
Cramer Maynard;m;1495;Koenigsegg;97.804;82.918;53.081;66.355;75.771
Petrus Camille;m;1157;Koenigsegg;77.645;55.582;87.468;58.754;62.179
Spencer Essie;m;1959;McLaren;57.534;88.305;63.971;83.416;56.176
Carleen Carlita;f;1023;Ford;68.393;94.896;54.27;59.39;79.9
Huss Hoey;m;1132;Chevrolet;61.259;88.565;73.814;75.178;90.055
Bowyer Rhett;m;1084;Chevrolet;87.192;85.397;80.556;84.876;62.362
Essie Luman;f;1059;Koenigsegg;86.941;54.918;98.708;57.368;73.515
Spencer Perera;m;1112;BMW;78.843;68.438;60.983;61.713;67.282
Perera Cyrstal;m;1502;Chevrolet;66.918;74.105;59.395;59.327;57.233
Iris Faw;f;1013;Mercedes;98.767;76.66;54.091;68.058;56.951
Carleen Flanary;f;1113;Lamborghini;70.233;56.801;53.173;99.471;59.173
Tristan Dewitt;f;1707;Porsche;64.592;74.289;96.467;60.355;79.276
Bowyer Russom;m;1603;Audi;59.892;95.307;50.114;86.07;73.598
Fredricka Cramer;f;1232;Alpine;86.355;60.396;93.829;92.394;80.75
Camille Winebrenner;f;1742;Mazda;66.494;96.256;52.868;92.341;58.862
Mack Jesse;f;1409;Bugatti;58.426;65.984;93.112;96.651;97.351
Willard Hanlon;m;1343;Porsche;55.907;63.194;71.849;97.484;51.33
Monica Gomes;f;1622;Mazda;94.059;65.023;69.42;65.395;85.36
Leff Shawn;m;1361;Koenigsegg;85.981;75.008;79.289;79.074;81.299
Gomes Felisa;m;1456;Audi;73.297;96.86;53.521;61.581;82.692
Perera Lindquist;m;1223;Lamborghini;94.458;64.593;77.9;92.215;93.565
Hannaford Stacks;m;1041;Abarth;57.829;88.229;56.812;56.746;83.696
Emerald Labrador;f;1053;Abarth;69.163;99.915;98.76;60.425;51.641
Abby Carleen;f;1838;Ford;55.537;76.252;97.623;92.376;73.709
Fredricka Peggie;f;1635;Alpine;77.775;98.106;84.459;54.691;73.599
Timpson Crooks;m;1122;Porsche;63.547;97.048;70.209;95.327;66.76
Iris Winebrenner;f;1537;Nissan;96.167;57.773;73.962;86.827;70.649
Stacks Spencer;m;1204;McLaren;68.922;77.706;50.34;87.03;79.473
Shawn Nicola;f;1419;Nissan;89.296;68.734;55.325;95.62;66.714
Eilene Dominick;f;1250;Abarth;72.988;53.92;90.061;92.87;59.429
Jami Winebrenner;f;1411;Mercedes;60.328;81.381;66.98;52.876;90.057
Dominick Felisa;m;1408;Mazda;95.905;56.907;94.266;89.249;55.853
Shawn Delnero;f;1136;Ferrari;95.617;86.119;91.644;60.545;56.171
Santos Brooks;f;1344;Mercedes;85.855;59.649;60.12;68.749;61.318
Flanary Amburn;m;1398;Bugatti;57.887;66.799;59.041;92.372;99.981
Tonette Wischmeier;f;1999;Ferrari;57.128;76.786;50.7;60.181;71.054
Bengtson Fredricka;m;1637;McLaren;87.451;95.446;70.193;53.668;74.686
Rhett Almazan;f;1927;Mazda;71.256;63.937;74.185;73.503;70.182
Tonette Cambra;f;1199;Mercedes;50.533;97.683;54.894;95.448;74.374
